
2023/06/16 (13:45:01) | ===> btop++ v.1.2.13
2023/06/16 (13:45:01) | INFO: Logger set to INFO
2023/06/16 (13:45:01) | INFO: Logger set to DEBUG
2023/06/16 (13:45:03) | INFO: Logger set to DEBUG
2023/06/16 (13:47:39) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2023/06/16 (13:47:43) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2023/06/16 (13:47:49) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/06/16 (13:47:53) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2023/06/16 (13:47:55) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2023/06/16 (13:47:59) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2023/06/16 (13:48:04) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2023/06/16 (13:48:08) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2023/06/16 (13:48:10) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2023/06/16 (13:48:12) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2023/06/16 (13:48:13) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2023/06/16 (13:48:16) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2023/06/16 (13:48:20) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2023/06/16 (13:48:21) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2023/06/16 (13:48:25) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2023/06/16 (13:48:29) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2023/06/16 (13:48:31) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2023/06/16 (13:48:34) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2023/06/16 (13:48:45) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2023/06/16 (13:48:49) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2023/06/16 (13:48:53) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2023/06/16 (13:48:57) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2023/06/16 (13:48:58) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/06/16 (13:50:25) | DEBUG: Writing new config file
2023/06/16 (13:50:25) | INFO: Quitting! Runtime: 00:06:51

2023/06/20 (13:55:04) | ===> btop++ v.1.2.13
2023/06/20 (13:55:04) | INFO: Logger set to DEBUG
2023/06/20 (13:55:04) | DEBUG: Using locale en_US.UTF-8
2023/06/20 (13:55:04) | INFO: Running on /dev/pts/1
2023/06/20 (13:55:04) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/06/20 (14:05:13) | DEBUG: Writing new config file
2023/06/20 (14:05:13) | INFO: Quitting! Runtime: 00:10:09

2023/06/20 (16:20:40) | ===> btop++ v.1.2.13
2023/06/20 (16:20:40) | INFO: Logger set to DEBUG
2023/06/20 (16:20:40) | DEBUG: Using locale en_US.UTF-8
2023/06/20 (16:20:40) | INFO: Running on /dev/pts/1
2023/06/20 (16:20:40) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/06/20 (16:20:58) | INFO: Quitting! Runtime: 00:00:18

2023/06/20 (16:28:51) | ===> btop++ v.1.2.13
2023/06/20 (16:28:51) | INFO: Logger set to DEBUG
2023/06/20 (16:28:51) | DEBUG: Using locale en_US.UTF-8
2023/06/20 (16:28:51) | INFO: Running on /dev/pts/1
2023/06/20 (16:28:51) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/06/21 (21:35:58) | ===> btop++ v.1.2.13
2023/06/21 (21:35:58) | INFO: Logger set to DEBUG
2023/06/21 (21:35:58) | DEBUG: Using locale en_US.UTF-8
2023/06/21 (21:35:58) | INFO: Running on /dev/pts/2
2023/06/21 (21:35:58) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/06/21 (21:36:02) | INFO: Quitting! Runtime: 00:00:04

2023/06/22 (09:20:50) | ===> btop++ v.1.2.13
2023/06/22 (09:20:50) | INFO: Logger set to DEBUG
2023/06/22 (09:20:50) | DEBUG: Using locale en_US.UTF-8
2023/06/22 (09:20:50) | INFO: Running on /dev/pts/0
2023/06/22 (09:20:50) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/06/22 (09:24:07) | INFO: Quitting! Runtime: 00:03:17

2023/06/22 (10:37:01) | ===> btop++ v.1.2.13
2023/06/22 (10:37:01) | INFO: Logger set to DEBUG
2023/06/22 (10:37:01) | DEBUG: Using locale en_US.UTF-8
